GRB,T90,T90rc,Class,Feature,Instrument,HR23,HR14,HR24,HR34,z,Morphology,HostType,Offset,e_Offset,E_Offset,SFR,e_SFR,E_SFR,m_SFR,sSFR,e_sSFR,E_sSFR,Metal,e_Metal,E_Metal,m_Metal,Mass,e_Mass,E_Mass,Reference
200411A,0.22,0.1208791208791209,S,,Swift,,,,,0.82,,SF,37.66,,6.75,27.35,21.94,15.21,SED,1.698243652461746e-09,1.0956840663873867e-09,2.666914669939919e-09,0.6456542290346555,0.3572510787219949,0.4763642252673078,SED,16982436524.61746,8272800625.056629,9932911514.651678,"Fong 2022, Jeong 2024, Nugent 2022"
200522A,0.62,0.3990731204943357,S,LC KN,Swift,1.4622779384801592,8.642514034458971,4.566779106353373,3.123058199934223,0.5536,,SF,0.93,,0.19,2.23,0.06,0.05,SED,4.897788193684456e-10,1.1148727045807611e-11,1.140841425882584e-11,0.8511380382023764,0.0568098034780949,0.0608728011535333,SED,4570881896.148752,104045974.63911724,106469516.7232294,"Fong 2022, Jeong 2024, Nugent 2022"
200826A,1.14,0.6521739130434782,S,SN,Fermi,,,,,0.748,,Late type,2.09,0.6,0.6,4.01,3.59,41.87,SED,8.991031390134529e-10,,,0.087096358995608,0.0582560439643419,0.3202839188085047,SED,4460000000.0,1670000000.0,1670000000.0,"Ahumada 2021, SNTABLE"
200907B,0.83,0.532051282051282,S,,Swift,2.497180090138829,53.74400968711839,17.61002347230634,7.051963749769975,0.56,,SF,2.41,,7.78,1.34,31.2,1.31,SED,1.0715193052376047e-09,1.0413197880335847e-09,3.499362590911147e-09,0.3981071705534972,0.2359261608176042,0.5139036688024124,SED,2290867652.76777,1812237560.445132,8424325399.608279,"Fong 2022, Nugent 2022"
201221D,0.16,0.0778588807785888,S,,Swift,1.3417764010542714,6.48037089504742,3.693855815302333,2.7529592951552635,1.055,,SF,29.35,,24.09,2.36,0.29,0.26,SED,1.047128548050898e-09,1.1387424725390992e-10,1.2776900688863188e-10,0.3162277660168379,0.0142325939766363,0.0149033554657531,SED,2290867652.76777,152905563.26553726,163841262.9172535,"Fong 2022, Jeong 2024, Nugent 2022"
210323A,1.12,0.6462781304096942,S,,Swift,1.4584445533916357,8.566434907083151,4.537118377629279,3.110929631900053,0.733,,SF,5.89,,3.68,0.34,0.1,0.06,SED,5.623413251903491e-10,1.9080609609317632e-10,1.6209463488464002e-10,0.1548816618912481,0.0373919063972951,0.10814513729829,SED,588843655.3555884,152327823.11542368,482675649.8820164,"Fong 2022, Jeong 2024, Nugent 2022"
210510A,1.34,1.0974610974610974,S,,,,,,,0.221,,,,,,,,,SED,,,,,,,SED,,,,Jeong 2024
210726A,0.39,0.2846715328467153,S,,Swift,1.3988457827105851,7.448865187033517,4.092890647412325,2.9259055558514886,0.37,,SF,0.23,,0.78,0.06,0.27,0.05,SED,8.51138038202375e-10,6.88957028466483e-10,2.100071188464002e-09,0.3311311214825911,0.1797749966389703,0.5398324684734896,SED,69183097.09189363,47305480.85239811,165239784.44009817,"Fong 2022, Jeong 2024, Nugent 2022"
210919A,0.16,0.1288763592428513,S,,Swift,1.3412201300985311,6.470977121659428,3.689945636445399,2.751185695501245,0.2415,,SF,51.05,,1.92,0.3,0.03,0.03,SED,4.073802778041122e-11,3.5845048706939424e-12,3.930331434684947e-12,0.3235936569296282,0.0351905066169677,0.0654514880646523,SED,7413102413.009162,494792703.8197994,530179934.2336273,"Fong 2022, Jeong 2024, Nugent 2022"
211023B,1.3,0.6981740064446831,S,,Swift,1.0046160665016826,2.489143708805002,1.8273430027037776,1.8189466241238117,0.862,,SF,3.84,,2.57,1.45,1.53,0.62,SED,3.54813389233576e-10,1.7698544822968374e-10,3.3701758168536025e-10,0.6456542290346555,0.4594455153683687,0.529243325904874,SED,4466835921.509635,1648452990.2451744,2140098558.566329,"Fong 2022, Jeong 2024, Nugent 2022"
211106A,1.75,,S,,Swift,,,,,,,,0.79,,0.29,,,,,,,,,,,,,,,Fong 2022
211211A,51.37,47.72832853293691,L,HC KN,Swift,1.399393779761125,7.45761469400789,4.09656498181753,2.927385444372069,0.0763,Elliptical,SF,7.92,0.04,0.029,0.07,0.01,0.01,SED,1.0471285480508984e-10,2.3429803188679897e-11,1.8314022276148268e-11,0.2041737944669529,0.0753488392976395,0.047014848684005,SED,691830970.9189363,75235969.0574553,179132619.03714335,"Fong 2022, Jeong 2024, Nugent 2022, Troja 2022, Rastinejad 2022, Yang 2022"
211227A,84.0,68.40390879478828,L,No SN,Swift,1.3653994355709111,6.868626660248989,3.855669435585516,2.823839921959067,0.228,,SF,20.47,14.47,14.47,,,,,,,,,,,SED,,,,"Jeong 2024, Lü 2022"
221120A,0.64,0.5925925925925926,S,,Swift,2.2249994443717966,36.05786120209552,13.10901115236256,5.891691876832688,0.08,,,,,,,,,SED,,,,,,,SED,,,,Jeong 2024
230307A,35.0,32.87619763291377,L,HC KN,Fermi,,,,,0.0646,Spiral,Q,38.9,,,0.547,0.3,0.3,H alpha,2.3080168776371308e-10,,,0.3235936569296281,0.14414148435757,0.14414148435757,NII,2370000000.0,350000000.0,240000000.0,Levan 2024
970228,56.0,33.038348082595874,L,SN,STIS,,,,,0.695,Spiral,L,3.266,,0.259,1.95,,0.22,[OII],1.19e-09,,,0.6025595860743593,0.2558227356218269,0.2485784521280201,log(O/H),398107170.5534969,48576421.59746659,54503641.476310015,"Bloom 2002, Conselice 2005, Leibler 2010, Mannucci 2011, Wainwright 2005, SNTABLE"
970508,23.104,12.590735694822888,L,,BATSE,,,,,0.835,Elliptical,L,0.091,,0.09,1.14,,,[OII],3.44e-09,,,,,,,316227766.01683795,68104322.29305264,85738261.98774385,"Bloom 2002, Conselice 2005, Leibler 2010"
970828,146.59,74.86721144024516,L,,WFPC2,,,,,0.958,Interacting,L,4.047,,4.326,0.87,,,[OII],5.6e-10,,,,,,,1548816618.9124796,872733643.5204978,1999317273.4232664,"Bloom 2002, Conselice 2005, Wainwright 2005"
971214,31.232,7.069262109551833,L,,BATSE,,,,,3.418,Irregular,L,1.105,,0.557,11.4,,,UV,2.93e-09,,,,,,,3890451449.942805,2341634831.030325,5881920759.615307,"Bloom 2002, Conselice 2005, Wainwright 2005"
980326,312.0,156.0,L,SN,BeppoSAX,,,,,1.0,,L,,,,,,,,,,,,,,,,,,"Bloom 2002, SNTABLE"
980329,19.0,4.222222222222222,L,,STIS,,,,,3.5,Interacting,L,,,,5.1,,,UV,,,,,,,,,,,"Bloom 2002, Conselice 2005, Wainwright 2005"
980425,34.88,34.56888007928643,L,SN,BATSE,,,,,0.009,,L,2.337,,0.01,0.57,,0.05,O[II],1.3000000000000002e-10,,,0.5128613839913658,0.1054811061872519,0.1327928450432904,log(O/H),1659586907.4375632,1158399673.8102896,3835821831.138685,"Bloom 2002, Levesque 2010, Mannucci 2011, SNTABLE"
980519,23.808,,L,,BATSE,,,,,,Irregular,L,,,,,,,,,,,,,,,,,,"Conselice 2005, Wainwright 2005"
980613,,,L,,STIS,,,,,1.097,Interacting,L,0.782,,0.666,4.7,,,[OII],1.5210000000000002e-08,,,,,,,1258925411.794166,118483471.4550348,192157690.37591428,"Bloom 2002, Conselice 2005, Leibler 2010, Wainwright 2005"
980703,,,L,,STIS,,,,,0.966,Irregular,L,0.959,,0.536,4.2,,0.17,H beta,3.29e-09,,,0.7943282347242822,0.3962210641707852,0.0969227034094655,log(O/H),6760829753.919819,1748957417.6471045,2359278639.6392956,"Bloom 2002, Conselice 2005, Levesque 2010, Mannucci 2011, Wainwright 2005"
981226,20.0,9.478672985781987,L,,BATSE,,,,,1.11,Interacting,L,,,,,,,,,,,,0.06,,,,,,"Frontera 2000, Conselice 2005, Wainwright 2005"
990123,61.0,23.46153846153846,L,,STIS,,,,,1.6,Interacting,L,6.105,,0.027,5.72,,,UV,2.17e-09,,,,,,,2511886431.509582,1779129953.6930056,5498037169.745613,"Bloom 2002, Conselice 2005, Leibler 2010, Wainwright 2005"
990308,,,L,,BATSE,,,,,,Irregular,L,,,,,,,,,,,,,,,,,,Wainwright 2005
990506,129.0,55.916775032509754,L,,STIS,,,,,1.307,Elliptical,L,2.68,,4.144,2.5,,,[OII],8.3e-10,,,,,,,3019951720.402019,1024689405.4331362,1550930175.7467332,"Bloom 2002, Conselice 2005, Wainwright 2005"
990510,57.0,21.764032073310425,L,,STIS,,,,,1.619,Irregular,L,0.6,,0.084,,,,,,,,,,,,,,,"Bloom 2002, Conselice 2005, Wainwright 2005"
990705,32.0,17.37242128121607,L,,STIS,,,,,0.842,Interacting,L,7.165,,0.38,6.96,,,[OII],4.4e-10,,,,,,,15848931924.611109,13094703221.272943,75352152010.97966,"Bloom 2002, Conselice 2005, Wainwright 2005"
990712,38.0,26.499302649930264,L,SN,STIS,,,,,0.434,Interacting,L,0.301,,0.486,10.7,,0.05,O[II],1.23e-09,,,0.5128613839913658,0.1054811061872519,0.1327928450432904,log(O/H),1412537544.6227555,124287992.92961788,136279074.2897241,"Bloom 2002, Conselice 2005, Levesque 2010, Mannucci 2011, Wainwright 2005, SNTABLE"
991208,60.0,35.16998827667057,L,SN,STIS,,,,,0.706,Elliptical,L,1.513,,0.75,3.47,,,O[II],5.793e-08,,,0.2137962089502232,0.0439718437040486,0.0553572714424681,log(O/H),707945784.3841373,229315692.06149924,339182763.6667613,"Bloom 2002, Conselice 2005, Levesque 2010, SNTABLE"
991216,15.168,7.5089108910891085,L,,BATSE,,,,,1.02,Interacting,L,3.107,,0.28,,,,,,,,,,,,,,,"Bloom 2002, Conselice 2005, Wainwright 2005"
