GRB,T90,T90rc,Class,Feature,Instrument,HR23,HR14,HR24,HR34,z,Morphology,HostType,Offset,e_Offset,E_Offset,SFR,e_SFR,E_SFR,m_SFR,sSFR,e_sSFR,E_sSFR,Metal,e_Metal,E_Metal,m_Metal,Mass,e_Mass,E_Mass,Reference
081226A,0.4,,S,,Swift,1.5006524146296678,9.428658903933709,4.869452157187875,3.2448900956118893,,,,4.06,,,,,,,,,,,,,,,,,Fong 2022
090102A,29.3,11.503729878288183,L,,Swift,,,,,1.547,,L,,,,,,,,,,,,,,,,,,Li 2016
090113,9.1,3.309090909090909,L,,Swift,1.3833110113158753,7.17496661313655,3.98162005425124,2.87832600310448,1.75,,L,1.573,,0.888,17.9,4.8,10.1,Literature,2.305966697530707e-09,,,,,,,7762471166.286927,,,"Blanchard 2016, Schneider 2022"
090201A,84.78,27.348387096774193,L,,Swift,,,,,2.1,,L,,,,48.0,14.0,30.0,H alpha,,,,,,,,,,,Li 2016
090205A,8.8,1.5576048285749686,L,,Swift,,,,,4.6497,,L,,,,4.2,0.98,0.98,Lya,8.380101722869308e-11,,,0.2691534803926916,,,A/S,50118723362.72715,,,Li 2016
090305A,0.54,,S,,Swift,2.120849284006016,30.574543876678348,11.60405693201913,5.47141987859719,,,S,3.49,,0.24,,,,,,,,,,,,,,,"Fong 2022, Li 2016"
090313,79.0,18.057142857142857,L,,Swift,1.072753854308634,3.087449690545838,2.140671468433174,1.9954917522182092,3.375,,L,,,,14.2,,,UV,7.803480408778272e-10,,,0.0199526231496888,0.0099526231496887,0.0198580939056609,A/Fe,18197008586.099827,,,Perley 2016
090323A,135.17,29.492494327107696,L,,Fermi GBM,,,,,3.5832,,L,,,,24.0,17.0,53.0,[OII],1.5e-10,,,4.677351412871983,0.004,5.555578509935558,A/S,158489319246.11108,130305489933.46658,732761618887.6329,Li 2016
090328A,61.697,35.54588926657833,L,,Fermi,,,,,0.7357,,L,,,,4.8,,,[OII],2.76e-09,,,,,,,1737800828.7493763,,,Li 2016
090404,84.0,21.0,L,,Swift,0.8344877235048428,1.3614129923992515,1.1734913757537755,1.4062416290860698,3.0,,,4.709,,3.229,381.0,,,Literature,3.026390574299515e-09,,,,,,,125892541179.4166,,,"Blanchard 2016, Perley 2016, Schneider 2022"
090407,310.0,126.53061224489797,L,,Swift,1.2776446847456016,5.50414819311,3.275367539269782,2.5635981414676,1.45,,L,1.451,,3.463,14.06,4.87,4.87,Literature,9.1e-10,,,1.4454397707459274,0.373920465508321,0.5044048290121181,E,10471285480.508986,2342980318.8679905,3018343345.4075203,"Blanchard 2016, Schneider 2022"
090417B,266.94,198.46840148698885,L,,Swift,1.1379679760452186,3.7501630813342817,2.469676687791278,2.170251483151704,0.345,,L,,,,0.5,0.3,0.3,SED,1.4000000000000003e-10,,,,,,,3467368504.5253096,447416784.12330294,334525458.68028736,Li 2016
090418A,56.31,21.57471264367816,L,,Swift,1.5849299494152678,11.334698765536515,5.577378182354744,3.51900611406354,1.61,,L,0.812,,1.785,,,,Literature,,,,,,,,4073802778.041122,,,"Blanchard 2016, Li 2016, Schneider 2022"
090423,10.3,1.1159263271939328,L,,Swift,1.1421156907324903,3.795420733755705,2.4916675360842744,2.181624467908549,8.23,,L,,,,,,,,,,,,,,,,,,Blanchard 2016
090424,48.0,31.088082901554404,L,,Swift,1.3831524165764064,7.1724905562930585,3.980522132025903,2.877862254601365,0.544,,L,2.594,,0.235,0.56,0.24,0.24,Hab,2.3000000000000003e-10,,,0.5495408738576245,,,E,4168693834.7033463,850016300.1070092,1149300973.3162656,"Blanchard 2016, Perley 2016"
090426,1.2,0.3324099722991689,S,,Swift,,,,,2.61,,S,0.49,,0.24,14.4,2.0,2.0,Literature,2.2e-10,,,,,,,1000000000.0,683772233.983162,1884031503.1266117,Schneider 2022
090510,0.5,0.2627430373095113,S-EE,LC KN,Swift,1.915445880071,21.565017172868423,8.966021264745834,4.680905557307361,0.903,,SF,10.51,3.91,2.92,1.3489628825916535,1.1711349415877612,10.400012666803638,SED,1.2022644346174132e-10,1.0437751153713022e-10,1.001792010840224e-09,0.1096478196143185,0.007318520386243,0.0162447215650982,SED,6165950018.61481,2184878313.0798407,4305335461.894176,"Fong 2022, Jeong 2024, Kann 2011, Nugent 2022, Ukwatta 2009"
090515,0.036,0.0256593014967925,S,,Swift,1.506329397437416,9.549487392609102,4.915411264679889,3.2631715699381827,0.403,Elliptical,Q,76.19,0.54,0.16,1.096478196143185,0.0,0.5253319012157449,SED,1.0715193052376047e-11,0.0,2.4673743331879986e-12,0.6760829753919817,0.1974528830693434,0.2789096106294542,SED,85113803820.2376,51229388206.31739,52924622640.05107,"Fong 2022, Jeong 2024, Kann 2011, Nugent 2022"
090516A,208.0,40.712468193384225,L,,Swift,1.254642911159328,5.181076129496056,3.132781521535948,2.496950720935539,4.109,,L,,,,20.4,,,UV,3.9776829835064036e-10,,,0.0436515832240165,,,A/Si,51286138399.13659,,,"Li 2016, Perley 2016"
090519,64.0,13.195876288659797,L,,Swift,2.216767121011733,35.59999972227217,12.98584183847914,5.858009041812384,3.85,,L,,,,2.0,,,UV,7.261561095402034e-10,,,,,,,2754228703.3381634,,,Perley 2016
090529A,70.0,19.310344827586206,L,,Swift,1.0094621316954555,2.5289481382423005,1.848800776188732,1.8314711549244085,2.625,,L,,,,,,,,,,,,,,,,,,Li 2016
090530,48.0,21.18270079435128,L,,Swift,1.357062742954565,6.730234269249922,3.798307994511832,2.7989184834904868,1.266,,L,,,,,,,,,,,,,,,851138038.2023759,,,Perley 2016
090618,113.2,73.50649350649351,L,SN,Swift,1.3401401457104456,6.453866393610178,3.6827309150992655,2.748019247753337,0.54,,L,4.402,,0.292,,,,,,,,,,,,1096478196.1431828,,,"Blanchard 2016, Perley 2016, SNTABLE"
090709A,88.73,32.86296296296296,L,,Swift,1.7297365269573213,15.23807349901334,6.9382520461084844,4.011161201708077,1.7,,L,2.393,,0.305,8.0,4.1,4.1,SED,8.4e-10,,,,0.6,,,9549925860.214369,1606643512.9715471,5938240328.91049,"Blanchard 2016, Li 2016"
